                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.46526,                0.41189,                0.92973,                0.95737,                0.93887,                0.97037,                0.84481,                      0,                    inf,                      0,               0.003136,               0.003136,               0.003136
                    106,                0.46773,                0.41125,                 0.9318,                0.95288,                 0.9467,                0.96904,                 0.8491,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                    107,                0.46248,                0.41582,                0.92576,                 0.9564,                0.93905,                0.96816,                0.84823,                      0,                    inf,                      0,               0.003004,               0.003004,               0.003004
                    108,                0.46428,                0.40946,                 0.9272,                0.96061,                0.93827,                0.96968,                0.84869,                      0,                    inf,                      0,               0.002938,               0.002938,               0.002938
                    109,                0.46193,                0.41532,                0.92667,                 0.9573,                0.93797,                0.96896,                0.84948,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                    110,                0.45975,                0.40669,                0.92991,                0.93992,                0.95203,                 0.9681,                0.84789,                      0,                    inf,                      0,               0.002806,               0.002806,               0.002806
                    111,                0.45955,                0.40059,                0.92917,                0.96493,                0.93101,                0.97194,                0.84876,                      0,                    inf,                      0,                0.00274,                0.00274,                0.00274
                    112,                0.45849,                0.40393,                0.92739,                0.95691,                0.93638,                0.97044,                0.84641,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                    113,                0.46289,                 0.4041,                0.93252,                0.95676,                0.93521,                0.96754,                0.84315,                      0,                    inf,                      0,               0.002608,               0.002608,               0.002608
                    114,                 0.4487,                0.39244,                0.92122,                0.96101,                0.93378,                0.96709,                0.84483,                      0,                    inf,                      0,               0.002542,               0.002542,               0.002542
                    115,                0.44854,                0.38481,                0.92404,                 0.9468,                 0.9471,                0.96784,                0.84607,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                    116,                 0.4494,                0.38722,                0.92481,                0.95576,                0.94003,                 0.9671,                0.84588,                      0,                    inf,                      0,                0.00241,                0.00241,                0.00241
                    117,                0.44774,                0.38468,                 0.9185,                0.95891,                0.94568,                0.97051,                 0.8497,                      0,                    inf,                      0,               0.002344,               0.002344,               0.002344
                    118,                0.44769,                0.39477,                0.92716,                 0.9648,                0.94205,                0.97208,                0.85288,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                    119,                 0.4497,                0.39129,                0.92267,                 0.9595,                0.94044,                 0.9719,                0.85429,                      0,                    inf,                      0,               0.002212,               0.002212,               0.002212
